type,amount,oldbalanceOrg,newbalanceOrig,isFraud
1,4241.44,4241.44,0.0,1
4,245694.84,245694.84,0.0,1
3,144403.82,14948244.86,15092648.68,0
4,1532229.72,1532229.72,0.0,1
4,37766.23,37766.23,0.0,1
3,251461.96,8529.0,259990.96,0
1,892213.56,892213.56,0.0,1
1,10000000.0,10000000.0,0.0,1
4,355909.21,355909.21,0.0,1
3,100765.85,40005.0,140770.85,0
2,1659.95,19240.64,17580.69,0
1,959018.79,959018.79,0.0,1
1,262966.07,30404.0,0.0,0
3,84237.81,5640978.63,5725216.44,0
1,53325.6,53325.6,0.0,1
3,11406.87,102068.45,113475.32,0
4,593112.43,0.0,0.0,0
4,126192.63,126192.63,0.0,1
1,2308798.26,2308798.26,0.0,1
1,216553.51,5293.68,0.0,0
4,234787.38,234787.38,0.0,1
2,4030.05,20376.0,16345.95,0
2,36388.0,20591.0,0.0,0
4,7728992.56,7728992.56,0.0,1
1,315337.36,50585.0,0.0,0
1,204778.86,204778.86,0.0,1
3,105302.34,30790.0,136092.34,0
2,5618.27,0.0,0.0,0
4,22117.99,22117.99,0.0,1
4,626673.66,626673.66,0.0,1
3,236654.19,3959288.64,4195942.83,0
1,10000000.0,10000000.0,0.0,1
2,665.2,16829.0,16163.8,0
4,105733.45,105733.45,0.0,1
2,14010.03,0.0,0.0,0
3,67888.7,11012.0,78900.7,0
4,15177.97,15177.97,0.0,1
1,64749.7,21253.0,0.0,0
1,30704.74,23162.0,0.0,0
1,2392482.86,2392482.86,0.0,1
2,29828.0,7945.0,0.0,0
2,7031.7,0.0,0.0,0
4,447009.83,447009.83,0.0,1
4,343972.5,343972.5,0.0,1
1,447474.67,447474.67,0.0,1
1,214011.08,5773.0,0.0,0
3,8741.71,597547.57,606289.28,0
1,130162.08,409271.0,279108.92,0
2,8334.55,0.0,0.0,0
1,591766.42,591766.42,0.0,1
4,1028486.59,1028486.59,0.0,1
1,20495.46,0.0,0.0,0
3,4376.0,9060.0,13436.0,0
1,1455382.05,1455382.05,0.0,1
